City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB JEMBER,5074,,5074,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KOTA MOJOKERTO,2056,,2056,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB GRESIK,4532,374,4906,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB TRENGGALEK,1873,,1873,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KOTA BLITAR,1593,,1593,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB MOJOKERTO,2604,,2604,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB PROBOLINGGO,2053,,2053,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB LUMAJANG,3049,,3049,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB BOJONEGORO,3701,,3701,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA BATU,1307,,1307,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB JOMBANG,4337,,4337,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB LAMONGAN,4156,,4156,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB BLITAR,2349,,2349,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB TULUNGAGUNG,4083,,4083,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA BLITAR,1818,,1818,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB TRENGGALEK,2062,,2062,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA MADIUN,2952,,2952,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB MADIUN,1942,,1942,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB BONDOWOSO,2153,,2153,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB BANYUWANGI,4125,,4125,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA SURABAYA,24012,4401,28413,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB PONOROGO,2787,,2787,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB MOJOKERTO,2109,,2109,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA MOJOKERTO,2109,,2109,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB PROBOLINGGO,2207,,2207,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB JEMBER,5084,,5084,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB GRESIK,4573,785,5358,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB NGANJUK,2612,,2612,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA KEDIRI,3332,,3332,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB SIDOARJO,6590,656,7246,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB NGAWI,2247,,2247,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB KEDIRI,3370,,3370,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA PASURUAN,990,,990,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA MALANG,7869,,7869,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB MALANG,4883,,4883,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB MAGETAN,1817,,1817,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB TUBAN,2029,,2029,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KOTA PROBOLINGGO,1131,,1131,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB BANGKALAN,1932,,1932,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB SITUBONDO,1681,,1681,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB PAMEKASAN,1639,,1639,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB PASURUAN,2424,,2424,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB SUMENEP,1490,,1490,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB SAMPANG,923,,923,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB PACITAN,806,,806,2/3/2021,https://twitter.com/KominfoJatim/status/1356996190697476096/photo,
KAB LAMONGAN,4221,,4221,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB LUMAJANG ,3084,,3084,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB BLITAR,2374,,2374,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA BATU,1332,,1332,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB BOJONEGORO,3707,,3707,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB JOMBANG,4405,,4405,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
